VariableName,vtInv,inv,inverse,AffineTransform SVGSVGElementBridge actualWidth viewingTransform actualHeight createInverse createGraphicsNode
MethodName,toURL,url,uniform resource locator,URL fileName input uri furl urlRoot userDir uri flURL transcode in
VariableName,origEvt,orig,original,AbstractEvent EventSupport getOriginalEvent e AbstractEvent getUltimateOriginalEvent
VariableName,se,se,scripting environment,ScriptingEnvironment UpdateManager secondaryScriptingEnvironments i dispatchSVGLoadEvent se dispatchSVGLoadEvent
VariableName,tnRect,rect,rectangle,Rectangle2D SVGTextElementBridge getBounds2D tnRect at tn getBounds createTransformedShape getTextIntersection
VariableName,unPt,pt,point,AnimatableMotionPointValue MotionAnimation animatableElement getUnderlyingValue AnimatableMotionPointValue moveTo x y MotionAnimation
ParameterName,r,r,reader,Creates a new AbstractScanner object param r The reader to scan;Reader reader AbstractScanner
MethodName,setAnimationLimitingFPS,fps,frames per second,Sets the animation limiting mode to a number of frames per second param fps the maximum number of frames per second fps gt;void JSVGComponent fps
VariableName,sl,sl,selector list,SelectorList CSSEngine style getSelectorList slen s findSelectorAttributes
VariableName,overlinePosStr,pos,position,overline position;String SVGFontFaceElementBridge String SVG_OVERLINE_POSITION_ATTRIBUTE fontFaceElement overlinePos ascent valueOf getAttributeNS convertSVGNumber s createFontFace
MethodName,xMinYMid,min,minimum,Implements link PreserveAspectRatioHandler xMinYMid;void DefaultPreserveAspectRatioHandler
ParameterName,wStr,w,width,Returns a rectangle that represents the region defined by the specified coordinates param xStr the x coordinate of the region param yStr the y coordinate of the region param wStr the width of the region param hStr the height of the region param targetNode the graphics node needed for objectBoundingBox param uctx the unit processor context needed for userSpaceOnUse;String w svgHorizontalLengthToObjectBoundingBox svgHorizontalLengthToUserSpace s s convertRegion wStr wStr wStr
VariableName,typeGTrans,g,general,int AWTGVTGlyphVector TYPE_GENERAL_TRANSFORM AffineTransform draw
ParameterName,rc,rc,render context,update the current affine transform Just copy over the rendering hints Get our sources image;RenderContext RenderContext rh aoi at ri aoiR createRendering
VariableName,prevFF,ff,font family,GVTFontFamily StrokingTextPainter fontFamily createModifiedACIForFontMatching
VariableName,tr,tr,transform,AffineTransform AbstractSVGMatrix getAffineTransform clone AffineTransform flipX
VariableName,tcr,tcr,tile cache red,TileCacheRed StaticRenderer TileCacheRed o flush
FieldName,POST_GRAY_LUT_ADD_TRANS_EXP,exp,expression,Push gray values through grayLut to expand to bits expand add alpha;int PNGImage POST_EXP_MASK POST_GRAY_LUT_ADD_TRANS
VariableName,tgt,tgt,target,NodeEventTarget SVGImageElementBridge NodeEventTarget svgElement storeEventListenerNS t createSVGImageNode
VariableName,tmpR1,r,raster,Swap them;WritableRaster GaussianBlurRed8Bit fill createCompatibleWritableRaster skipX boxFilterH r tmpR1 dY tmp dX boxFilterV tmpR2 width srcCM height boxFilterV coerceData boxFilterH src wr dest dest src copyData
MethodName,startDTD,dtd,document type definition,b SAX b Implements link org xml sax ext LexicalHandler startDTD String String String;void SAXDocumentFactory systemId publicId name
VariableName,rPURL,r,resource,ParsedURL JSVGComponent BridgeUserAgentWrapper Query resourcePURL result getExternalResourceSecurity resourceURL run getExternalResourceSecurity
VariableName,ze,ze,zip entry,ZipEntry ClassFileUtilities jarFile getEntry depis classFileName computeClassDependencies
VariableName,ts,ts,timing specifier,Set TimedElement j e Set getValue sampleAt
VariableName,uiEvt,evt,event,DOMUIEvent SVG12FocusManager docEvt createEvent DOMUIEvent fireDOMFocusOutEvent
VariableName,s,s,string,String CSSUtilities v getStringValue convertOverflow
VariableName,txtBridge,txt,text,SVGTextElementBridge SVGSVGElementBridge getSVGContext SVGTextElementBridge svgElem elems getIntersectionList
ClassName,URIValue,uri,uniform resource identifier,StringValue AbstractValue Value URIValue getCssText cssText Reveal the absolute value as the cssText now This class represents uri values author a href mailto stephane hillion org Stephane Hillion a version Id URIValue java Z gadams;
